Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
BUF,2026,1639.89,16.0615,4.44259,1.40574,1.40574,0.394,0.485,0.126242,0.2082,0.2641,-0.0121726,0.1858,38.5,31,7.5,2,1.2513,1.10644,0
BAL,2026,1634.48,15.3629,4.22619,1.55898,1.55898,0.2153,0.4137,0.179971,-0.1559,-0.4914,0.122374,0.3711,41,23,18,1,0.7974,1.26854,0
LA,2026,1626.84,-11.4475,3.92032,-0.371035,-0.371035,-0.2472,-0.3939,-0.130756,0.1827,0.1419,0.220517,-0.4299,7,27,-20,0,0.0392,1.32702,0
SEA,2026,1625.02,0.3464,3.84746,0.366777,0.366777,0.0097,0.182,-0.0584136,-0.0393,-0.14,-0.0878626,0.049,13,10,3,1,0.6506,1.47155,0
KC,2026,1607.46,12.9516,3.14522,1.0085,1.0085,0.0882,-0.0853,0.224725,-0.3452,-0.5136,-0.0957244,0.4334,31,10,21,1,0.9359,1.11174,0
NE,2026,1587.03,-3.2377,2.32789,0.356455,0.356455,-0.0393,-0.14,-0.0878626,0.0097,0.182,-0.0584136,-0.049,10,13,-3,0,0.3494,0.99408,0
CHI,2026,1584.1,18.1586,2.21077,1.94918,1.94918,0.4862,0.4802,0.37773,0.1137,0.2643,0.0551309,0.3725,59,37,22,1,0.7514,1.10566,0
DET,2026,1579.36,4.7484,2.02136,-0.198335,-0.198335,0.1195,0.2508,-0.0919623,0.1773,0.1596,0.133658,-0.0578,31,35.5,-4.5,1,0.8407,1.03812,0
HOU,2026,1576.98,3.0472,1.92596,0.13834,0.13834,0.1208,0.0394,0.110432,0.3572,0.4845,-0.124457,-0.2365,31,36,-5,0,0.4123,1.26562,0
SF,2026,1576.88,7.278,1.92196,1.16404,1.16404,0.1827,0.1419,0.220517,-0.2472,-0.3939,-0.130756,0.4299,27,7,20,1,0.9608,1.21906,0
PHI,2026,1573.21,3.7654,1.77518,0.283774,0.283774,0.0402,0.0509,0.0939383,0.0244,0.1116,0.00522333,0.0158,24,22,2,1,0.5514,1.46807,0
CIN,2026,1567.39,4.4138,1.54228,0.411685,0.411685,0.0481,-0.0751,-0.024303,-0.0317,-0.2826,-0.0766822,0.0798,33,27,6,1,0.6167,0.884612,0
JAX,2026,1563.15,12.703,1.37274,1.39304,1.39304,0.3537,0.827,-0.0343307,-0.1441,-0.447,0.0366262,0.4978,34,10,24,1,0.9479,1.21789,0
GB,2026,1539.49,-0.4817,0.426396,-0.508159,-0.508159,-0.1455,-0.0644,-0.429032,0.1185,0.0208,-0.0492671,-0.264,22,39,-17,0,0.2047,0.957556,0
DEN,2026,1534.12,-6.5933,0.211724,-0.622256,-0.622256,-0.3452,-0.5136,-0.0957244,0.0882,-0.0853,0.224725,-0.4334,10,31,-21,0,0.0641,1.12369,0
DAL,2026,1533.19,3.8788,0.174453,0.0101611,0.0101611,0.2666,0.3053,0.0607744,0.3031,0.7556,-0.0184177,-0.0366,20,28,-8,0,0.3106,1.01483,0
LAC,2026,1524.47,-3.0938,-0.174453,-0.194746,-0.194746,-0.3117,-0.2077,-0.32544,0.0343,0.2436,-0.0175253,-0.346,14,26,-12,0,0.1874,1.4194,0
PIT,2026,1510.01,8.991,-0.752949,0.397466,0.397466,-0.2775,-0.3397,-0.284732,-0.4183,-0.7166,-0.0817025,0.1409,20,13,7,1,0.7352,0.961833,0
TB,2026,1508.1,3.4792,-0.829028,0.42332,0.42332,-0.0317,-0.2826,-0.0766822,0.0481,-0.0751,-0.024303,-0.0798,27,33,-6,0,0.3833,1.05597,0
MIN,2026,1490.59,-32.5206,-1.52954,-1.22163,-1.22163,0.1185,0.0208,-0.0492671,-0.1455,-0.0644,-0.429032,0.264,39,22,17,1,0.7953,1.1092,0
WAS,2026,1485.57,4.3456,-1.73036,0.680864,0.680864,0.0244,0.1116,0.00522333,0.0402,0.0509,0.0939383,-0.0158,22,24,-2,0,0.4486,0.734116,0
IND,2026,1476.63,-5.0804,-2.08786,-0.693672,-0.693672,-0.1559,-0.4914,0.122374,0.2153,0.4137,0.179971,-0.3711,23,41,-18,0,0.2026,0.777703,0
NYG,2026,1470.1,5.252,-2.34905,1.17715,1.17715,0.3031,0.7556,-0.0184177,0.2666,0.3053,0.0607744,0.0366,28,20,8,1,0.6894,0.781646,0
NO,2026,1441.96,5.6441,-3.47493,1.20906,1.20906,-0.0171,-0.0177,-0.0662495,-0.0433,0.0189,-0.0214305,0.0262,30,31,-1,0,0.4806,0.545804,0
CAR,2026,1434.4,12.1332,-3.77739,-0.146885,-0.146885,0.1137,0.2643,0.0551309,0.4862,0.4802,0.37773,-0.3725,37,59,-22,0,0.2486,0.816004,0
LV,2026,1425.5,18.0594,-4.13324,0.634511,0.634511,0.0019,0.0131,-0.13446,-0.3183,-0.3418,-0.142478,0.3202,27,13,14,1,0.8497,0.763729,0
ATL,2026,1402.24,-19.9854,-5.06378,-0.210508,-0.210508,-0.4183,-0.7166,-0.0817025,-0.2775,-0.3397,-0.284732,-0.1409,13,20,-7,0,0.2648,0.991555,0
NYJ,2026,1398.06,-0.0073,-5.23089,1.42754,1.42754,0.0867,0.4065,-0.0572831,-0.2409,-0.2297,0.109906,0.3276,23,10,13,1,0.878,0.805754,0
ARI,2026,1386.36,-3.6956,-5.69895,1.23383,1.23383,0.0343,0.2436,-0.0175253,-0.3117,-0.2077,-0.32544,0.346,26,14,12,1,0.8126,0.473177,0
TEN,2026,1374.07,-2.6471,-6.19023,-0.594463,-0.594463,-0.2409,-0.2297,0.109906,0.0867,0.4065,-0.0572831,-0.3276,10,23,-13,0,0.122,0.830242,0
CLE,2026,1345.55,1.5941,-7.33116,-0.267397,-0.267397,-0.1441,-0.447,0.0366262,0.3537,0.827,-0.0343307,-0.4978,10,34,-24,0,0.0521,0.603882,0
MIA,2026,1338.31,-11.418,-7.6208,-0.0965381,-0.0965381,-0.3183,-0.3418,-0.142478,0.0019,0.0131,-0.13446,-0.3202,13,27,-14,0,0.1503,0.755517,0
