"team_abbr","Tm","Games","Att","Prss","Sk","prss_rate","Prss_to_sack_rate","rank","row","sack_rate"
"LV","Las Vegas Raiders",2,54,31,8,0.456,0.258064516129032,1,32,0.117677419354839
"MIN","Minnesota Vikings",2,77,40,8,0.455,0.2,2,31,0.091
"CHI","Chicago Bears",2,58,25,5,0.373,0.2,3,30,0.0746
"CAR","Carolina Panthers",2,61,28,5,0.359,0.178571428571429,4,29,0.0641071428571428
"WAS","Washington Commanders",2,56,22,5,0.324,0.227272727272727,5,28,0.0736363636363636
"GB","Green Bay Packers",2,65,25,7,0.316,0.28,6,27,0.08848
"SF","San Francisco 49ers",2,51,18,4,0.316,0.222222222222222,7,26,0.0702222222222222
"ATL","Atlanta Falcons",2,77,25,4,0.305,0.16,8,25,0.0488
"JAX","Jacksonville Jaguars",2,53,18,5,0.295,0.277777777777778,9,24,0.0819444444444444
"PIT","Pittsburgh Steelers",2,44,15,7,0.283,0.466666666666667,10,23,0.132066666666667
"BUF","Buffalo Bills",2,76,24,7,0.279,0.291666666666667,11,22,0.081375
"CIN","Cincinnati Bengals",2,84,27,8,0.273,0.296296296296296,12,21,0.0808888888888889
"DET","Detroit Lions",2,87,27,7,0.267,0.259259259259259,13,20,0.0692222222222222
"LAC","Los Angeles Chargers",2,66,18,3,0.254,0.166666666666667,14,19,0.0423333333333333
"NYJ","New York Jets",2,61,18,6,0.254,0.333333333333333,15,18,0.0846666666666667
"NO","New Orleans Saints",2,70,20,4,0.253,0.2,16,17,0.0506
"NE","New England Patriots",2,64,18,6,0.247,0.333333333333333,17,16,0.0823333333333333
"SEA","Seattle Seahawks",2,61,18,5,0.247,0.277777777777778,18,15,0.0686111111111111
"HOU","Houston Texans",2,60,16,7,0.235,0.4375,19,14,0.1028125
"KC","Kansas City Chiefs",2,59,15,4,0.227,0.266666666666667,20,13,0.0605333333333333
"PHI","Philadelphia Eagles",2,54,14,3,0.226,0.214285714285714,21,12,0.0484285714285714
"ARI","Arizona Cardinals",2,53,13,4,0.21,0.307692307692308,22,11,0.0646153846153846
"DEN","Denver Broncos",2,56,13,4,0.203,0.307692307692308,23,10,0.0624615384615385
"BAL","Baltimore Ravens",2,65,14,5,0.192,0.357142857142857,24,9,0.0685714285714286
"TEN","Tennessee Titans",2,61,13,3,0.191,0.230769230769231,25,8,0.0440769230769231
"DAL","Dallas Cowboys",2,64,14,2,0.187,0.142857142857143,26,7,0.0267142857142857
"TB","Tampa Bay Buccaneers",2,65,13,3,0.181,0.230769230769231,27,6,0.0417692307692308
"CLE","Cleveland Browns",2,57,10,4,0.156,0.4,28,5,0.0624
"IND","Indianapolis Colts",2,72,12,4,0.148,0.333333333333333,29,4,0.0493333333333333
"MIA","Miami Dolphins",2,52,7,0,0.125,0,30,3,0
"NYG","New York Giants",2,65,5,1,0.072,0.2,31,2,0.0144
"LA","Los Angeles Rams",2,66,5,2,0.071,0.4,32,1,0.0284
