"team","plays","games","dropbacks","dropback_rate","designed_runs","runs_with_epa","rushing_epa_per_play","logo","logo_x","logo_y"
"ARI",116,2,70,0.603448275862069,46,46,-0.168658594365104,"outputs/dropback_rushing_epa_2026_through_week_2/logos/ARI.png",0.602207363045713,-0.174236159727367
"ATL",124,2,65,0.524193548387097,59,59,-0.13035934890044,"outputs/dropback_rushing_epa_2026_through_week_2/logos/ATL.png",0.524193548387097,-0.13035934890044
"BAL",115,2,66,0.573913043478261,49,49,0.176455442642915,"outputs/dropback_rushing_epa_2026_through_week_2/logos/BAL.png",0.571439800991949,0.187888945191558
"BUF",117,2,70,0.598290598290598,47,47,0.0612781752269974,"outputs/dropback_rushing_epa_2026_through_week_2/logos/BUF.png",0.598290598290598,0.0612781752269974
"CAR",121,2,82,0.677685950413223,39,39,-0.151767173873034,"outputs/dropback_rushing_epa_2026_through_week_2/logos/CAR.png",0.677035520305601,-0.163127968431999
"CHI",139,2,79,0.568345323741007,60,60,0.0105867631903189,"outputs/dropback_rushing_epa_2026_through_week_2/logos/CHI.png",0.568345323741007,0.0105867631903189
"CIN",120,2,73,0.608333333333333,47,47,-0.0754484819487343,"outputs/dropback_rushing_epa_2026_through_week_2/logos/CIN.png",0.610117284466072,-0.0773160885112744
"CLE",102,2,65,0.637254901960784,37,37,-0.338159447106394,"outputs/dropback_rushing_epa_2026_through_week_2/logos/CLE.png",0.637254901960784,-0.338159447106394
"DAL",106,2,72,0.679245283018868,34,34,-0.124748976406408,"outputs/dropback_rushing_epa_2026_through_week_2/logos/DAL.png",0.679719488889557,-0.116242706850227
"DEN",102,2,64,0.627450980392157,38,38,-0.0700479187302297,"outputs/dropback_rushing_epa_2026_through_week_2/logos/DEN.png",0.625406277471477,-0.0558007572052238
"DET",135,2,85,0.62962962962963,50,50,-0.0852283966757901,"outputs/dropback_rushing_epa_2026_through_week_2/logos/DET.png",0.63167433255031,-0.099475558200796
"GB",117,2,78,0.666666666666667,39,39,-0.434621504211697,"outputs/dropback_rushing_epa_2026_through_week_2/logos/GB.png",0.666666666666667,-0.434621504211697
"HOU",149,2,103,0.691275167785235,46,46,-0.238854876147441,"outputs/dropback_rushing_epa_2026_through_week_2/logos/HOU.png",0.691275167785235,-0.238854876147441
"IND",116,2,67,0.577586206896552,49,49,0.15947484994445,"outputs/dropback_rushing_epa_2026_through_week_2/logos/IND.png",0.580059449382864,0.148041347395807
"JAX",108,2,55,0.509259259259259,53,53,0.00755397079067938,"outputs/dropback_rushing_epa_2026_through_week_2/logos/JAX.png",0.509259259259259,0.00755397079067943
"KC",142,2,84,0.591549295774648,58,58,0.234394078659753,"outputs/dropback_rushing_epa_2026_through_week_2/logos/KC.png",0.591549295774648,0.234394078659753
"LA",112,2,61,0.544642857142857,51,51,-0.122294677897384,"outputs/dropback_rushing_epa_2026_through_week_2/logos/LA.png",0.544642857142857,-0.122294677897384
"LAC",113,2,66,0.584070796460177,47,47,-0.44958218348589,"outputs/dropback_rushing_epa_2026_through_week_2/logos/LAC.png",0.584070796460177,-0.44958218348589
"LV",121,2,63,0.520661157024793,58,58,-0.244731411225273,"outputs/dropback_rushing_epa_2026_through_week_2/logos/LV.png",0.520661157024793,-0.244731411225273
"MIA",106,2,65,0.613207547169811,41,41,-0.21098126988672,"outputs/dropback_rushing_epa_2026_through_week_2/logos/MIA.png",0.613207547169811,-0.21098126988672
"MIN",109,2,54,0.495412844036697,55,55,-0.137768427447141,"outputs/dropback_rushing_epa_2026_through_week_2/logos/MIN.png",0.495412844036697,-0.137768427447141
"NE",118,2,69,0.584745762711864,49,49,-0.207077237479246,"outputs/dropback_rushing_epa_2026_through_week_2/logos/NE.png",0.584745762711864,-0.207077237479246
"NO",148,2,101,0.682432432432432,47,47,-0.0722998271905569,"outputs/dropback_rushing_epa_2026_through_week_2/logos/NO.png",0.682608656669366,-0.0694453021877738
"NYG",120,2,67,0.558333333333333,53,53,-0.0761326354598224,"outputs/dropback_rushing_epa_2026_through_week_2/logos/NYG.png",0.558333333333333,-0.0761326354598224
"NYJ",131,2,74,0.564885496183206,57,57,-0.186964294755364,"outputs/dropback_rushing_epa_2026_through_week_2/logos/NYJ.png",0.564885496183206,-0.186964294755364
"PHI",123,2,75,0.609756097560976,48,48,-0.140306652669096,"outputs/dropback_rushing_epa_2026_through_week_2/logos/PHI.png",0.610997010377332,-0.134729087306833
"PIT",128,2,89,0.6953125,39,39,-0.15602586044518,"outputs/dropback_rushing_epa_2026_through_week_2/logos/PIT.png",0.6953125,-0.15602586044518
"SEA",114,2,54,0.473684210526316,60,60,-0.169234433299183,"outputs/dropback_rushing_epa_2026_through_week_2/logos/SEA.png",0.473684210526316,-0.169234433299183
"SF",111,2,61,0.54954954954955,50,50,-0.0168439630442299,"outputs/dropback_rushing_epa_2026_through_week_2/logos/SF.png",0.54954954954955,-0.01684396304423
"TB",113,2,76,0.672566371681416,37,37,0.0382050942288196,"outputs/dropback_rushing_epa_2026_through_week_2/logos/TB.png",0.672566371681416,0.0382050942288196
"TEN",100,2,63,0.63,37,37,0.0420622482162105,"outputs/dropback_rushing_epa_2026_through_week_2/logos/TEN.png",0.63,0.0420622482162105
"WAS",134,2,80,0.597014925373134,54,54,-0.0635993160180954,"outputs/dropback_rushing_epa_2026_through_week_2/logos/WAS.png",0.595230974240395,-0.0617317094555553
