"team","plays","games","epa_per_play","success_rate"
"BUF",117,2,0.355167195520293,0.504273504273504
"SF",111,2,0.298037771871367,0.567567567567568
"DAL",106,2,0.22371611082441,0.509433962264151
"BAL",115,2,0.223292712094355,0.565217391304348
"KC",142,2,0.199870027723449,0.492957746478873
"CAR",121,2,0.162306402796369,0.462809917355372
"CHI",139,2,0.143939941822176,0.431654676258993
"JAX",108,2,0.141729467958697,0.518518518518518
"DET",135,2,0.106958600984526,0.466666666666667
"SEA",114,2,0.105593059686232,0.43859649122807
"WAS",134,2,0.071836390707658,0.470149253731343
"PHI",123,2,0.0522610432723562,0.382113821138211
"NO",148,2,0.0459152322888868,0.432432432432432
"NYJ",131,2,0.0195685707174592,0.435114503816794
"LA",112,2,0.0126888172599138,0.491071428571429
"NYG",120,2,0.00309364530855741,0.45
"TEN",100,2,-0.0198634111970729,0.44
"IND",116,2,-0.0263222658742923,0.448275862068966
"CIN",120,2,-0.0452354530108147,0.391666666666667
"ARI",116,2,-0.0460364745114255,0.422413793103448
"MIN",109,2,-0.0567116117356331,0.339449541284404
"LV",121,2,-0.0661614457675657,0.388429752066116
"CLE",102,2,-0.0836549564512887,0.441176470588235
"DEN",102,2,-0.0867435406510487,0.431372549019608
"NE",118,2,-0.092359184190695,0.415254237288136
"HOU",149,2,-0.0923989508828047,0.395973154362416
"MIA",106,2,-0.111797840954163,0.377358490566038
"TB",113,2,-0.163723074555018,0.424778761061947
"GB",117,2,-0.195063154224167,0.358974358974359
"LAC",113,2,-0.253351738875695,0.371681415929204
"PIT",128,2,-0.3304980071088,0.3515625
"ATL",124,2,-0.403331885100322,0.370967741935484
