"team","off_plays","offense_epa","def_plays","defense_epa_allowed","net_epa","tier"
"BAL",60,0.32148390975596,53,-0.241236563073174,0.562720472829134,"ELITE"
"JAX",53,0.338167773368255,49,-0.184270496446771,0.522438269815026,"ELITE"
"KC",64,0.16442734042007,46,-0.343853448830275,0.508280789250345,"ELITE"
"SF",64,0.178767561435182,56,-0.264638923357,0.443406484792181,"ELITE"
"ARI",69,0.144142909939144,51,-0.243959003451107,0.38810191339025,"ELITE"
"NYJ",60,0.16835011036527,49,-0.118623774406199,0.286973884771469,"STRONG"
"CHI",70,0.40938169487142,62,0.181535845788867,0.227845849082553,"STRONG"
"LV",64,-0.0391491414700978,50,-0.235889885888813,0.196740744418715,"STRONG"
"CIN",62,-0.00156017073333831,51,-0.185213868135111,0.183653697401773,"STRONG"
"BUF",51,0.252322134408275,73,0.0689076942296705,0.183414440178604,"STRONG"
"SEA",47,0.065603193432784,67,-0.109628270540569,0.175231463973353,"STRONG"
"NYG",65,0.368879210859394,52,0.220670051839149,0.148209159020245,"STRONG"
"MIN",58,-0.0380907520742333,67,-0.174825677988437,0.136734925914203,"STRONG"
"DET",73,0.000409826941713982,85,-0.0198967483859098,0.0203065753276238,"MIDDLE"
"PIT",61,-0.302776499092503,57,-0.321005718317915,0.0182292192254116,"MIDDLE"
"WAS",67,0.074925101658576,51,0.0710163568143646,0.00390874484421148,"MIDDLE"
"PHI",51,0.0710163568143646,67,0.074925101658576,-0.00390874484421148,"MIDDLE"
"ATL",57,-0.321005718317915,61,-0.302776499092503,-0.0182292192254116,"MIDDLE"
"NO",85,-0.0198967483859098,73,0.000409826941713982,-0.0203065753276238,"MIDDLE"
"GB",67,-0.174825677988437,58,-0.0380907520742333,-0.136734925914203,"SHAKY"
"DAL",52,0.220670051839149,65,0.368879210859394,-0.148209159020245,"SHAKY"
"NE",67,-0.109628270540569,47,0.065603193432784,-0.175231463973353,"SHAKY"
"HOU",73,0.0689076942296705,51,0.252322134408275,-0.183414440178604,"SHAKY"
"TB",51,-0.185213868135111,62,-0.00156017073333831,-0.183653697401773,"SHAKY"
"MIA",50,-0.235889885888813,64,-0.0391491414700978,-0.196740744418715,"SHAKY"
"CAR",62,0.181535845788867,70,0.40938169487142,-0.227845849082553,"SHAKY"
"TEN",49,-0.118623774406199,60,0.16835011036527,-0.286973884771469,"SHAKY"
"LAC",51,-0.243959003451107,69,0.144142909939144,-0.38810191339025,"STRUGGLING"
"LA",56,-0.264638923357,64,0.178767561435182,-0.443406484792181,"STRUGGLING"
"DEN",46,-0.343853448830275,64,0.16442734042007,-0.508280789250345,"STRUGGLING"
"CLE",49,-0.184270496446771,53,0.338167773368255,-0.522438269815026,"STRUGGLING"
"IND",53,-0.241236563073174,60,0.32148390975596,-0.562720472829134,"STRUGGLING"
