"posteam","total_drives","fd_0","fd_1","fd_2","fd_3","fd_4+"
"SF",170,0.264705882352941,0.158823529411765,0.135294117647059,0.170588235294118,0.270588235294118
"LA",181,0.248618784530387,0.209944751381215,0.149171270718232,0.12707182320442,0.265193370165746
"NE",174,0.275862068965517,0.17816091954023,0.17816091954023,0.114942528735632,0.252873563218391
"BUF",174,0.264367816091954,0.172413793103448,0.155172413793103,0.160919540229885,0.247126436781609
"DAL",177,0.220338983050847,0.203389830508475,0.15819209039548,0.175141242937853,0.242937853107345
"ARI",171,0.269005847953216,0.245614035087719,0.0935672514619883,0.152046783625731,0.239766081871345
"IND",172,0.284883720930233,0.197674418604651,0.156976744186047,0.122093023255814,0.238372093023256
"KC",169,0.319526627218935,0.159763313609467,0.183431952662722,0.100591715976331,0.236686390532544
"NYG",170,0.276470588235294,0.194117647058824,0.117647058823529,0.182352941176471,0.229411764705882
"GB",166,0.295180722891566,0.156626506024096,0.162650602409639,0.156626506024096,0.228915662650602
"JAX",189,0.338624338624339,0.169312169312169,0.158730158730159,0.111111111111111,0.222222222222222
"CHI",183,0.295081967213115,0.191256830601093,0.180327868852459,0.120218579234973,0.213114754098361
"CIN",179,0.290502793296089,0.184357541899441,0.173184357541899,0.139664804469274,0.212290502793296
"LAC",175,0.302857142857143,0.217142857142857,0.165714285714286,0.102857142857143,0.211428571428571
"DEN",189,0.380952380952381,0.169312169312169,0.116402116402116,0.126984126984127,0.206349206349206
"PHI",178,0.382022471910112,0.179775280898876,0.123595505617978,0.112359550561798,0.202247191011236
"WAS",166,0.240963855421687,0.27710843373494,0.144578313253012,0.13855421686747,0.198795180722892
"DET",187,0.283422459893048,0.219251336898396,0.176470588235294,0.128342245989305,0.192513368983957
"NO",176,0.318181818181818,0.215909090909091,0.159090909090909,0.119318181818182,0.1875
"SEA",185,0.281081081081081,0.210810810810811,0.205405405405405,0.124324324324324,0.178378378378378
"TB",180,0.277777777777778,0.233333333333333,0.166666666666667,0.144444444444444,0.177777777777778
"PIT",177,0.384180790960452,0.192090395480226,0.096045197740113,0.152542372881356,0.175141242937853
"CAR",166,0.265060240963855,0.253012048192771,0.180722891566265,0.126506024096386,0.174698795180723
"HOU",191,0.324607329842932,0.240837696335079,0.146596858638743,0.115183246073298,0.172774869109948
"BAL",178,0.320224719101124,0.207865168539326,0.162921348314607,0.146067415730337,0.162921348314607
"ATL",183,0.273224043715847,0.240437158469945,0.207650273224044,0.120218579234973,0.158469945355191
"MIN",181,0.348066298342541,0.226519337016575,0.138121546961326,0.138121546961326,0.149171270718232
"TEN",181,0.386740331491713,0.237569060773481,0.149171270718232,0.0773480662983425,0.149171270718232
"MIA",175,0.348571428571429,0.217142857142857,0.142857142857143,0.154285714285714,0.137142857142857
"NYJ",181,0.38121546961326,0.204419889502762,0.193370165745856,0.0939226519337017,0.12707182320442
"CLE",195,0.405128205128205,0.251282051282051,0.148717948717949,0.0769230769230769,0.117948717948718
"LV",181,0.419889502762431,0.198895027624309,0.165745856353591,0.104972375690608,0.110497237569061
