"posteam","drives","qualifying_drives","pct","rank"
"SF",170,98,0.576470588235294,1
"DAL",177,102,0.576271186440678,2
"BUF",174,98,0.563218390804598,3
"GB",166,91,0.548192771084337,4
"NE",174,95,0.545977011494253,5
"LA",181,98,0.541436464088398,6
"NYG",170,90,0.529411764705882,7
"CIN",179,94,0.525139664804469,8
"KC",169,88,0.520710059171598,9
"IND",172,89,0.517441860465116,10
"CHI",183,94,0.513661202185792,11
"SEA",185,94,0.508108108108108,12
"DET",187,93,0.497326203208556,13
"JAX",189,93,0.492063492063492,14
"TB",180,88,0.488888888888889,15
"ATL",183,89,0.486338797814208,16
"ARI",171,83,0.485380116959064,17
"CAR",166,80,0.481927710843373,18
"WAS",166,80,0.481927710843373,18
"LAC",175,84,0.48,20
"BAL",178,84,0.471910112359551,21
"NO",176,82,0.465909090909091,22
"DEN",189,85,0.44973544973545,23
"PHI",178,78,0.438202247191011,24
"HOU",191,83,0.43455497382199,25
"MIA",175,76,0.434285714285714,26
"MIN",181,77,0.425414364640884,27
"PIT",177,75,0.423728813559322,28
"NYJ",181,75,0.414364640883978,29
"LV",181,69,0.38121546961326,30
"TEN",181,68,0.375690607734807,31
"CLE",195,67,0.343589743589744,32
