"game_id","season","gameday","home_team","away_team","home_score","away_score"
"1999_01_MIN_ATL",1999,"1999-09-12","ATL","MIN",14,17
"1999_01_KC_CHI",1999,"1999-09-12","CHI","KC",20,17
"1999_01_PIT_CLE",1999,"1999-09-12","CLE","PIT",0,43
"1999_01_OAK_GB",1999,"1999-09-12","GB","OAK",28,24
"1999_01_BUF_IND",1999,"1999-09-12","IND","BUF",31,14
"1999_01_SF_JAX",1999,"1999-09-12","JAX","SF",41,3
"1999_01_CAR_NO",1999,"1999-09-12","NO","CAR",19,10
"1999_01_NE_NYJ",1999,"1999-09-12","NYJ","NE",28,30
"1999_01_ARI_PHI",1999,"1999-09-12","PHI","ARI",24,25
"1999_01_DET_SEA",1999,"1999-09-12","SEA","DET",20,28
"1999_01_BAL_STL",1999,"1999-09-12","STL","BAL",27,10
"1999_01_NYG_TB",1999,"1999-09-12","TB","NYG",13,17
"1999_01_CIN_TEN",1999,"1999-09-12","TEN","CIN",36,35
"1999_01_DAL_WAS",1999,"1999-09-12","WAS","DAL",35,41
"1999_01_MIA_DEN",1999,"1999-09-13","DEN","MIA",21,38
"2000_01_SF_ATL",2000,"2000-09-03","ATL","SF",36,28
"2000_01_JAX_CLE",2000,"2000-09-03","CLE","JAX",7,27
"2000_01_IND_KC",2000,"2000-09-03","KC","IND",14,27
"2000_01_CHI_MIN",2000,"2000-09-03","MIN","CHI",30,27
"2000_01_TB_NE",2000,"2000-09-03","NE","TB",16,21
"2000_01_DET_NO",2000,"2000-09-03","NO","DET",10,14
"2000_01_ARI_NYG",2000,"2000-09-03","NYG","ARI",21,16
"2000_01_BAL_PIT",2000,"2000-09-03","PIT","BAL",0,16
"2000_01_CAR_WAS",2000,"2000-09-03","WAS","CAR",20,17
"2000_01_PHI_DAL",2000,"2000-09-03","DAL","PHI",14,41
"2000_01_NYJ_GB",2000,"2000-09-03","GB","NYJ",16,20
"2000_01_SEA_MIA",2000,"2000-09-03","MIA","SEA",23,0
"2000_01_SD_OAK",2000,"2000-09-03","OAK","SD",9,6
"2000_01_TEN_BUF",2000,"2000-09-03","BUF","TEN",16,13
"2000_01_DEN_STL",2000,"2000-09-04","STL","DEN",41,36
"2001_01_CHI_BAL",2001,"2001-09-09","BAL","CHI",17,6
"2001_01_NO_BUF",2001,"2001-09-09","BUF","NO",6,24
"2001_01_NE_CIN",2001,"2001-09-09","CIN","NE",23,17
"2001_01_SEA_CLE",2001,"2001-09-09","CLE","SEA",6,9
"2001_01_TB_DAL",2001,"2001-09-09","DAL","TB",6,10
"2001_01_DET_GB",2001,"2001-09-09","GB","DET",28,6
"2001_01_PIT_JAX",2001,"2001-09-09","JAX","PIT",21,3
"2001_01_OAK_KC",2001,"2001-09-09","KC","OAK",24,27
"2001_01_CAR_MIN",2001,"2001-09-09","MIN","CAR",13,24
"2001_01_IND_NYJ",2001,"2001-09-09","NYJ","IND",24,45
"2001_01_STL_PHI",2001,"2001-09-09","PHI","STL",17,20
"2001_01_WAS_SD",2001,"2001-09-09","SD","WAS",30,3
"2001_01_ATL_SF",2001,"2001-09-09","SF","ATL",16,13
"2001_01_MIA_TEN",2001,"2001-09-09","TEN","MIA",23,31
"2001_01_NYG_DEN",2001,"2001-09-10","DEN","NYG",31,20
"2002_01_SF_NYG",2002,"2002-09-05","NYG","SF",13,16
"2002_01_NYJ_BUF",2002,"2002-09-08","BUF","NYJ",31,37
"2002_01_BAL_CAR",2002,"2002-09-08","CAR","BAL",10,7
"2002_01_MIN_CHI",2002,"2002-09-08","CHI","MIN",27,23
"2002_01_SD_CIN",2002,"2002-09-08","CIN","SD",6,34
"2002_01_KC_CLE",2002,"2002-09-08","CLE","KC",39,40
"2002_01_ATL_GB",2002,"2002-09-08","GB","ATL",37,34
"2002_01_IND_JAX",2002,"2002-09-08","JAX","IND",25,28
"2002_01_DET_MIA",2002,"2002-09-08","MIA","DET",49,21
"2002_01_PHI_TEN",2002,"2002-09-08","TEN","PHI",27,24
"2002_01_ARI_WAS",2002,"2002-09-08","WAS","ARI",31,23
"2002_01_STL_DEN",2002,"2002-09-08","DEN","STL",23,16
"2002_01_SEA_OAK",2002,"2002-09-08","OAK","SEA",31,17
"2002_01_NO_TB",2002,"2002-09-08","TB","NO",20,26
"2002_01_DAL_HOU",2002,"2002-09-08","HOU","DAL",19,10
"2002_01_PIT_NE",2002,"2002-09-09","NE","PIT",30,14
"2003_01_NYJ_WAS",2003,"2003-09-04","WAS","NYJ",16,13
"2003_01_NE_BUF",2003,"2003-09-07","BUF","NE",31,0
"2003_01_JAX_CAR",2003,"2003-09-07","CAR","JAX",24,23
"2003_01_DEN_CIN",2003,"2003-09-07","CIN","DEN",10,30
"2003_01_IND_CLE",2003,"2003-09-07","CLE","IND",6,9
"2003_01_ARI_DET",2003,"2003-09-07","DET","ARI",42,24
"2003_01_MIN_GB",2003,"2003-09-07","GB","MIN",25,30
"2003_01_SD_KC",2003,"2003-09-07","KC","SD",27,14
"2003_01_HOU_MIA",2003,"2003-09-07","MIA","HOU",20,21
"2003_01_STL_NYG",2003,"2003-09-07","NYG","STL",23,13
"2003_01_BAL_PIT",2003,"2003-09-07","PIT","BAL",34,15
"2003_01_ATL_DAL",2003,"2003-09-07","DAL","ATL",13,27
"2003_01_NO_SEA",2003,"2003-09-07","SEA","NO",27,10
"2003_01_CHI_SF",2003,"2003-09-07","SF","CHI",49,7
"2003_01_OAK_TEN",2003,"2003-09-07","TEN","OAK",25,20
