"season","games","complete","points","rank","points_per_game"
2012,16,TRUE,791,1,49.4375
2026,16,TRUE,791,1,49.4375
2002,16,TRUE,788,3,49.25
2019,16,TRUE,776,4,48.5
2021,16,TRUE,768,5,48
2018,16,TRUE,765,6,47.8125
2020,16,TRUE,758,7,47.375
2011,16,TRUE,752,8,47
2013,16,TRUE,742,9,46.375
2024,16,TRUE,733,10,45.8125
2015,16,TRUE,724,11,45.25
2016,16,TRUE,718,12,44.875
2014,16,TRUE,716,13,44.75
1999,15,TRUE,709,14,47.2666666666667
2022,16,TRUE,673,15,42.0625
2025,16,TRUE,661,16,41.3125
2023,16,TRUE,656,17,41
2009,16,TRUE,649,18,40.5625
2003,16,TRUE,645,19,40.3125
2008,16,TRUE,641,20,40.0625
2004,16,TRUE,621,21,38.8125
2005,16,TRUE,615,22,38.4375
2007,16,TRUE,608,23,38
2017,15,TRUE,606,24,40.4
2010,16,TRUE,585,25,36.5625
2000,15,TRUE,582,26,38.8
2006,16,TRUE,553,27,34.5625
2001,15,TRUE,543,28,36.2
