Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%▼,MTkl
Las Vegas Raiders,2,54,30,368,1,10.8,212,200,15,22.1%,13,19.1%,10,18.5%,8,31,45.6%,11
Minnesota Vikings,2,77,41,516,2,9.0,294,253,72,81.8%,18,20.5%,14,18.2%,8,40,45.5%,3
Chicago Bears,2,58,34,480,3,9.1,278,226,31,46.3%,16,23.9%,4,6.9%,5,25,37.3%,9
Carolina Panthers,2,61,39,390,2,7.5,228,186,29,37.2%,19,24.4%,4,6.6%,5,28,35.9%,7
Washington Commanders,2,56,40,448,7,8.6,329,153,25,36.8%,11,16.2%,6,10.7%,5,22,32.4%,12
Green Bay Packers,2,65,42,350,4,7.2,192,206,24,30.4%,13,16.5%,5,7.7%,7,25,31.6%,10
San Francisco 49ers,2,51,31,350,1,8.6,172,193,13,22.8%,5,8.8%,9,17.6%,4,18,31.6%,10
Atlanta Falcons,2,77,47,478,4,9.9,299,209,13,15.9%,13,15.9%,8,10.4%,4,25,30.5%,9
Jacksonville Jaguars,2,53,38,473,2,9.3,301,192,17,27.9%,6,9.8%,7,13.2%,5,18,29.5%,15
Pittsburgh Steelers,2,44,26,309,1,6.8,164,187,16,30.2%,4,7.5%,4,9.1%,7,15,28.3%,14
Buffalo Bills,2,76,52,546,6,8.3,361,240,16,18.6%,7,8.1%,10,13.2%,7,24,27.9%,19
Cincinnati Bengals,2,84,53,507,0,7.7,263,306,12,12.1%,14,14.1%,5,6.0%,8,27,27.3%,15
Detroit Lions,2,87,55,621,6,8.9,455,203,43,42.6%,10,9.9%,10,11.5%,7,27,26.7%,3
New York Jets,2,61,35,263,3,6.8,113,162,21,29.6%,8,11.3%,4,6.6%,6,18,25.4%,10
Los Angeles Chargers,2,66,46,525,4,8.7,353,166,19,26.8%,3,4.2%,12,18.2%,3,18,25.4%,9
New Orleans Saints,2,70,47,408,3,7.7,261,178,23,29.1%,7,8.9%,9,12.9%,4,20,25.3%,14
New England Patriots,2,64,40,332,1,5.7,153,234,27,37.0%,5,6.8%,7,10.9%,6,18,24.7%,8
Seattle Seahawks,2,61,40,249,2,5.5,104,169,18,24.7%,5,6.8%,8,13.1%,5,18,24.7%,5
Houston Texans,2,60,40,505,4,9.5,358,178,12,17.6%,4,5.9%,5,8.3%,7,16,23.5%,8
Kansas City Chiefs,2,59,39,325,2,4.6,145,196,26,39.4%,4,6.1%,7,11.9%,4,15,22.7%,11
Philadelphia Eagles,2,54,31,332,2,8.0,172,175,12,19.4%,9,14.5%,2,3.7%,3,14,22.6%,13
Arizona Cardinals,2,53,36,406,4,8.4,258,186,10,16.1%,6,9.7%,3,5.7%,4,13,21.0%,10
Denver Broncos,2,56,32,345,2,7.6,171,202,20,31.3%,1,1.6%,8,14.3%,4,13,20.3%,27
Baltimore Ravens,2,65,46,382,2,5.9,227,191,24,32.9%,1,1.4%,8,12.3%,5,14,19.2%,12
Tennessee Titans,2,61,45,467,2,8.1,335,144,14,20.6%,4,5.9%,6,9.8%,3,13,19.1%,14
Dallas Cowboys,2,64,46,436,5,8.5,262,175,17,22.7%,4,5.3%,8,12.5%,2,14,18.7%,12
Tampa Bay Buccaneers,2,65,49,468,3,5.4,187,288,29,40.3%,3,4.2%,7,10.8%,3,13,18.1%,18
Cleveland Browns,2,57,39,410,5,11.9,282,141,7,10.9%,2,3.1%,4,7.0%,4,10,15.6%,21
Indianapolis Colts,2,72,49,675,4,7.4,317,389,18,22.2%,5,6.2%,3,4.2%,4,12,14.8%,22
Miami Dolphins,2,52,41,447,5,8.0,250,178,13,23.2%,4,7.1%,3,5.8%,0,7,12.5%,9
New York Giants,2,65,44,493,6,9.3,84,91,5,7.2%,1,1.4%,3,4.6%,1,5,7.2%,7
Los Angeles Rams,2,66,39,335,3,4.4,88,117,3,4.3%,1,1.4%,2,3.0%,2,5,7.1%,3
