"pfr_player_id","player","team","sacks","pressures","gsis_id","headshot","gs","sack_pct","rank"
"SmitGe00","Geno Smith","LV",55,119,"00-0030565","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zppfqqcyjfma14jjif3a",15,0.46218487394958,1
"JackLa00","Lamar Jackson","BAL",36,82,"00-0034796","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eno6s5qzl9grbfbfwhoa",13,0.439024390243902,2
"AlleJo02","Josh Allen","BUF",40,99,"00-0034857","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d",16,0.404040404040404,3
"MayfBa00","Baker Mayfield","TB",36,92,"00-0034855","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue",17,0.391304347826087,4
"DartJa00","Jaxson Dart","NYG",35,96,"00-0040691","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc",12,0.364583333333333,5
"MayeDr00","Drake Maye","NE",47,132,"00-0039851","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4",17,0.356060606060606,6
"McCaJJ00","J.J. McCarthy","MIN",27,77,"00-0039923","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omybnfokapjw6jwb5dd3",10,0.350649350649351,7
"RodgAa00","Aaron Rodgers","PIT",29,85,"00-0023459","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",16,0.341176470588235,8
"TagoTu00","Tua Tagovailoa","MIA",30,93,"00-0036212","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmm4ohds7qci0vqoobhm",14,0.32258064516129,9
"WardCa00","Cam Ward","TEN",55,171,"00-0040676","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l7switu6stlwd2irm8yo",17,0.321637426900585,10
"HurtJa00","Jalen Hurts","PHI",32,100,"00-0036389","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xow5yvxjeqa6witmofmp",16,0.32,11
"HerbJu00","Justin Herbert","LAC",54,182,"00-0036355","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jnkspnntgebegzp4ghve",16,0.296703296703297,12
"LawrTr00","Trevor Lawrence","JAX",41,140,"00-0036971","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",17,0.292857142857143,13
"MahoPa00","Patrick Mahomes","KC",34,118,"00-0033873","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wdckwtob1lybvkmxnf7p",14,0.288135593220339,14
"BrisJa00","Jacoby Brissett","ARI",43,151,"00-0033119","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz",12,0.28476821192053,15
"GoffJa00","Jared Goff","DET",38,150,"00-0033106","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",17,0.253333333333333,16
"JoneDa05","Daniel Jones","IND",22,87,"00-0035710","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ohvvctuykzwrpqer7xgl",13,0.252873563218391,17
"DarnSa00","Sam Darnold","SEA",27,109,"00-0034869","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk",17,0.247706422018349,18
"PresDa01","Dak Prescott","DAL",31,127,"00-0033077","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd",17,0.244094488188976,19
"StroCJ00","C.J. Stroud","HOU",23,104,"00-0039163","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",14,0.221153846153846,20
"YounBr01","Bryce Young","CAR",27,129,"00-0039150","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vcvhmxvxw2a3armle0af",17,0.209302325581395,21
"LoveJo03","Jordan Love","GB",21,101,"00-0036264","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thz8stjkbjwddxqnozi5",15,0.207920792079208,22
"FlacJo00","Joe Flacco","CLE / CIN",18,91,"00-0026158","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dre1d2f2d6dxqohzn5l2",10,0.197802197802198,23
"StafMa00","Matthew Stafford","LA",23,117,"00-0026498","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",17,0.196581196581197,24
"NixxBo00","Bo Nix","DEN",22,128,"00-0039732","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvo9xatffmqn9lnukpgk",17,0.171875,25
"WillCa03","Caleb Williams","CHI",24,151,"00-0039918","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",17,0.158940397350993,26
