"pfr_player_id","player","team","sacks","pressures","gsis_id","headshot","gs","sack_pct","rank"
"SmitGe00","Geno Smith","LV",55,119,"00-0030565","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zppfqqcyjfma14jjif3a",15,0.46218487394958,1
"JackLa00","Lamar Jackson","BAL",36,82,"00-0034796","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eno6s5qzl9grbfbfwhoa",13,0.439024390243902,2
"AlleJo02","Josh Allen","BUF",40,99,"00-0034857","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d",16,0.404040404040404,3
"MayfBa00","Baker Mayfield","TB",36,92,"00-0034855","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue",17,0.391304347826087,4
"DartJa00","Jaxson Dart","NYG",35,96,"00-0040691","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc",12,0.364583333333333,5
"MayeDr00","Drake Maye","NE",47,132,"00-0039851","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4",17,0.356060606060606,6
"McCaJJ00","J.J. McCarthy","MIN",27,77,"00-0039923","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omybnfokapjw6jwb5dd3",10,0.350649350649351,7
"RodgAa00","Aaron Rodgers","PIT",29,85,"00-0023459","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",16,0.341176470588235,8
"TagoTu00","Tua Tagovailoa","MIA",30,93,"00-0036212","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmm4ohds7qci0vqoobhm",14,0.32258064516129,9
"WardCa00","Cam Ward","TEN",55,171,"00-0040676","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l7switu6stlwd2irm8yo",17,0.321637426900585,10
