"qb_id","drives","td_drives","inferred_drives","starts","qb_name","td_rate","rank"
"00-0034857",288,106,5,34,"Josh Allen",0.368055555555556,1
"00-0033106",329,112,9,36,"Jared Goff",0.340425531914894,2
"00-0034796",273,89,7,31,"Lamar Jackson",0.326007326007326,3
"00-0036264",250,77,6,31,"Jordan Love",0.308,4
"00-0036442",226,69,4,26,"Joe Burrow",0.305309734513274,5
"00-0026498",300,89,9,34,"Matthew Stafford",0.296666666666667,6
"00-0033873",273,78,0,31,"Patrick Mahomes",0.285714285714286,7
"00-0037834",210,59,1,25,"Brock Purdy",0.280952380952381,8
"00-0036389",292,82,6,33,"Jalen Hurts",0.280821917808219,9
"00-0039910",208,56,3,21,"Jayden Daniels",0.269230769230769,10
"00-0034869",298,80,0,35,"Sam Darnold",0.268456375838926,11
"00-0034855",322,85,4,35,"Baker Mayfield",0.263975155279503,12
"00-0033077",214,56,6,26,"Dak Prescott",0.261682242990654,13
"00-0039851",236,61,7,29,"Drake Maye",0.258474576271186,14
"00-0036971",248,64,9,28,"Trevor Lawrence",0.258064516129032,15
"00-0035710",208,51,6,24,"Daniel Jones",0.245192307692308,16
"00-0036212",200,48,6,25,"Tua Tagovailoa",0.24,17
"00-0036355",297,70,2,34,"Justin Herbert",0.235690235690236,18
"00-0039918",326,76,4,35,"Caleb Williams",0.233128834355828,19
"00-0029604",207,48,5,23,"Kirk Cousins",0.231884057971014,20
"00-0023459",307,71,6,34,"Aaron Rodgers",0.231270358306189,21
"00-0035228",186,41,1,23,"Kyler Murray",0.220430107526882,22
"00-0039732",327,72,5,35,"Bo Nix",0.220183486238532,23
"00-0039150",259,56,5,26,"Bryce Young",0.216216216216216,24
"00-0030565",290,56,6,33,"Geno Smith",0.193103448275862,25
"00-0026158",166,31,1,21,"Joe Flacco",0.186746987951807,26
"00-0039163",296,55,6,31,"C.J. Stroud",0.185810810810811,27
