"game_id","home_team","away_team","home_score","away_score","home_rush","home_pass","away_rush","away_pass","result","rush_edge","pass_edge"
"2025_01_ARI_NO","NO","ARI",13,20,107,208,146,130,-1,-1,1
"2025_01_BAL_BUF","BUF","BAL",41,40,108,389,238,194,1,-1,1
"2025_01_CAR_JAX","JAX","CAR",26,10,200,178,113,142,1,1,1
"2025_01_CIN_CLE","CLE","CIN",16,17,49,278,46,95,-1,1,1
"2025_01_DAL_PHI","PHI","DAL",24,20,158,144,119,188,1,1,-1
"2025_01_DET_GB","GB","DET",27,13,78,188,46,200,1,1,-1
"2025_01_HOU_LA","LA","HOU",14,9,72,224,114,151,1,-1,1
"2025_01_KC_LAC","LAC","KC",27,21,90,304,98,249,1,-1,1
"2025_01_LV_NE","NE","LV",13,20,60,276,56,333,-1,1,-1
"2025_01_MIA_IND","IND","MIA",33,8,156,262,78,135,1,1,1
"2025_01_MIN_CHI","CHI","MIN",24,27,119,198,120,136,-1,-1,1
"2025_01_NYG_WAS","WAS","NYG",21,6,220,212,74,157,1,1,1
"2025_01_PIT_NYJ","NYJ","PIT",32,34,182,212,53,218,-1,1,-1
"2025_01_SF_SEA","SEA","SF",13,17,84,146,119,265,-1,-1,-1
"2025_01_TB_ATL","ATL","TB",20,23,69,289,101,159,-1,-1,1
"2025_01_TEN_DEN","DEN","TEN",20,12,151,166,71,62,1,1,1
"2025_02_ATL_MIN","MIN","ATL",6,22,78,120,218,108,-1,-1,1
"2025_02_BUF_NYJ","NYJ","BUF",10,30,100,54,224,179,-1,-1,-1
"2025_02_CAR_ARI","ARI","CAR",27,22,82,211,49,303,1,1,-1
"2025_02_CHI_DET","DET","CHI",52,21,177,334,134,205,1,1,1
"2025_02_CLE_BAL","BAL","CLE",41,17,45,197,115,207,1,-1,-1
"2025_02_DEN_IND","IND","DEN",29,28,167,306,118,206,1,1,1
"2025_02_JAX_CIN","CIN","JAX",31,27,48,302,139,261,1,-1,1
"2025_02_LAC_LV","LV","LAC",9,20,68,150,81,236,-1,-1,-1
"2025_02_LA_TEN","TEN","LA",19,33,109,143,149,290,-1,-1,-1
"2025_02_NE_MIA","MIA","NE",27,33,61,297,122,211,-1,-1,1
"2025_02_NYG_DAL","DAL","NYG",40,37,135,343,84,422,1,1,-1
"2025_02_PHI_KC","KC","PHI",17,20,121,173,122,94,-1,-1,1
"2025_02_SEA_PIT","PIT","SEA",17,31,72,197,117,278,-1,-1,-1
"2025_02_SF_NO","NO","SF",21,26,121,186,77,267,-1,1,-1
"2025_02_TB_HOU","HOU","TB",19,20,84,182,169,191,-1,-1,-1
"2025_02_WAS_GB","GB","WAS",27,18,135,269,51,181,1,1,1
"2025_03_ARI_SF","SF","ARI",16,15,73,282,106,154,1,-1,1
"2025_03_ATL_CAR","CAR","ATL",30,0,110,114,131,201,1,-1,-1
"2025_03_CIN_MIN","MIN","CIN",48,10,169,183,53,118,1,1,1
"2025_03_DAL_CHI","CHI","DAL",31,14,87,298,121,277,1,-1,1
"2025_03_DEN_LAC","LAC","DEN",23,20,106,270,118,147,1,-1,1
"2025_03_DET_BAL","BAL","DET",30,38,85,233,224,202,-1,-1,1
"2025_03_GB_CLE","CLE","GB",13,10,96,125,81,149,1,1,-1
"2025_03_HOU_JAX","JAX","HOU",17,10,86,205,87,184,1,-1,1
"2025_03_IND_TEN","TEN","IND",20,41,86,196,137,228,-1,-1,-1
"2025_03_KC_NYG","NYG","KC",9,22,130,151,105,201,-1,1,-1
"2025_03_LA_PHI","PHI","LA",33,26,86,202,160,196,1,-1,1
"2025_03_LV_WAS","WAS","LV",41,24,201,199,93,263,1,1,-1
"2025_03_MIA_BUF","BUF","MIA",31,21,157,203,130,146,1,1,1
"2025_03_NO_SEA","SEA","NO",44,13,87,233,79,205,1,1,1
"2025_03_NYJ_TB","TB","NYJ",29,27,122,225,99,168,1,1,1
"2025_03_PIT_NE","NE","PIT",14,21,119,250,64,139,-1,1,1
"2025_04_BAL_KC","KC","BAL",37,20,118,264,166,194,1,-1,1
"2025_04_CAR_NE","NE","CAR",42,13,104,203,129,197,1,-1,1
"2025_04_CHI_LV","LV","CHI",24,25,240,117,69,202,-1,1,-1
"2025_04_CIN_DEN","DEN","CIN",28,3,186,326,53,106,1,1,1
"2025_04_CLE_DET","DET","CLE",34,10,109,168,79,170,1,1,-1
"2025_04_GB_DAL","DAL","GB",40,40,117,319,164,325,0,-1,-1
"2025_04_IND_LA","LA","IND",27,20,102,360,85,248,1,1,1
"2025_04_JAX_SF","SF","JAX",21,26,83,308,151,174,-1,-1,1
"2025_04_LAC_NYG","NYG","LAC",21,18,161,89,152,186,1,1,-1
