"game_id","posteam","fixed_drive","start","result","half_seconds","kneel_only","scored"
"2025_01_ARI_NO","ARI",1,78,"Punt",1796,FALSE,FALSE
"2025_01_ARI_NO","ARI",3,66,"Field goal",1534,FALSE,TRUE
"2025_01_ARI_NO","ARI",5,65,"Touchdown",860,FALSE,TRUE
"2025_01_ARI_NO","ARI",7,71,"Touchdown",293,FALSE,TRUE
"2025_01_ARI_NO","ARI",10,81,"Field goal",1647,FALSE,TRUE
"2025_01_ARI_NO","ARI",12,72,"Punt",1135,FALSE,FALSE
"2025_01_ARI_NO","ARI",14,94,"Punt",831,FALSE,FALSE
"2025_01_ARI_NO","ARI",16,40,"Missed field goal",523,FALSE,FALSE
"2025_01_ARI_NO","ARI",18,74,"Punt",155,FALSE,FALSE
"2025_01_ARI_NO","NO",2,77,"Punt",1587,FALSE,FALSE
"2025_01_ARI_NO","NO",4,75,"Touchdown",1196,FALSE,TRUE
"2025_01_ARI_NO","NO",6,55,"Field goal",598,FALSE,TRUE
"2025_01_ARI_NO","NO",8,71,"End of half",23,FALSE,FALSE
"2025_01_ARI_NO","NO",9,85,"Punt",1796,FALSE,FALSE
"2025_01_ARI_NO","NO",11,73,"Missed field goal",1449,FALSE,FALSE
"2025_01_ARI_NO","NO",13,73,"Punt",953,FALSE,FALSE
"2025_01_ARI_NO","NO",15,83,"Punt",549,FALSE,FALSE
"2025_01_ARI_NO","NO",17,64,"Field goal",274,FALSE,TRUE
"2025_01_ARI_NO","NO",19,58,"Turnover on downs",109,FALSE,FALSE
"2025_01_BAL_BUF","BAL",2,69,"Field goal",1574,FALSE,TRUE
"2025_01_BAL_BUF","BAL",4,85,"Touchdown",999,FALSE,TRUE
"2025_01_BAL_BUF","BAL",6,69,"Touchdown",723,FALSE,TRUE
"2025_01_BAL_BUF","BAL",8,54,"Field goal",163,FALSE,TRUE
"2025_01_BAL_BUF","BAL",10,65,"Touchdown",1800,FALSE,TRUE
"2025_01_BAL_BUF","BAL",12,67,"Punt",1362,FALSE,FALSE
"2025_01_BAL_BUF","BAL",14,68,"Touchdown",1062,FALSE,TRUE
"2025_01_BAL_BUF","BAL",16,65,"Touchdown",765,FALSE,TRUE
"2025_01_BAL_BUF","BAL",18,65,"Punt",558,FALSE,FALSE
"2025_01_BAL_BUF","BAL",20,72,"Turnover",230,FALSE,FALSE
"2025_01_BAL_BUF","BAL",22,69,"Punt",111,FALSE,FALSE
"2025_01_BAL_BUF","BUF",1,50,"Touchdown",1794,FALSE,TRUE
"2025_01_BAL_BUF","BUF",3,65,"Punt",1109,FALSE,FALSE
"2025_01_BAL_BUF","BUF",5,77,"Punt",809,FALSE,FALSE
"2025_01_BAL_BUF","BUF",7,70,"Field goal",581,FALSE,TRUE
"2025_01_BAL_BUF","BUF",9,73,"Field goal",25,FALSE,TRUE
"2025_01_BAL_BUF","BUF",11,60,"Touchdown",1668,FALSE,TRUE
"2025_01_BAL_BUF","BUF",13,84,"Punt",1274,FALSE,FALSE
"2025_01_BAL_BUF","BUF",15,84,"Touchdown",963,FALSE,TRUE
"2025_01_BAL_BUF","BUF",17,72,"Punt",695,FALSE,FALSE
