"posteam","drives","scores","avg_start","scoring_rate"
"ARI",171,63,30,0.368421052631579
"ATL",183,68,30.1639344262295,0.371584699453552
"BAL",178,76,31.4831460674157,0.426966292134831
"BUF",174,78,29.7413793103448,0.448275862068966
"CAR",166,57,30.421686746988,0.343373493975904
"CHI",183,80,32.2185792349727,0.437158469945355
"CIN",179,72,30.1620111731844,0.402234636871508
"CLE",195,50,29.6820512820513,0.256410256410256
"DAL",177,85,28.6497175141243,0.480225988700565
"DEN",189,71,29.3333333333333,0.375661375661376
"DET",187,83,32.2352941176471,0.443850267379679
"GB",166,72,29.4156626506024,0.433734939759036
"HOU",191,82,32.5340314136126,0.429319371727749
"IND",172,86,31.0581395348837,0.5
"JAX",189,81,32.7724867724868,0.428571428571429
"KC",169,71,29.810650887574,0.420118343195266
"LA",181,85,31.4696132596685,0.469613259668508
"LAC",175,74,29.9257142857143,0.422857142857143
"LV",181,47,29.4088397790055,0.259668508287293
"MIA",175,64,30.3371428571429,0.365714285714286
"MIN",181,66,30.7513812154696,0.364640883977901
"NE",174,80,30.6206896551724,0.459770114942529
"NO",176,58,29.7215909090909,0.329545454545455
"NYG",170,66,31.3117647058824,0.388235294117647
"NYJ",181,54,31.6243093922652,0.298342541436464
"PHI",178,63,29.6516853932584,0.353932584269663
"PIT",177,69,31.4180790960452,0.389830508474576
"SEA",185,85,31.1189189189189,0.45945945945946
"SF",170,81,32.4823529411765,0.476470588235294
"TB",180,71,30.8777777777778,0.394444444444444
"TEN",181,54,30.9502762430939,0.298342541436464
"WAS",166,62,30.4698795180723,0.373493975903614
