"posteam","receiver_player_id","short_name","receptions","targets","red_zone_targets","team_targets","display_name","player","target_share","rank"
"SEA","00-0038543","J.Smith-Njigba",17,22,6,50,"Jaxon Smith-Njigba","Jaxon Smith-Njigba",0.44,1
"JAX","00-0038606","P.Washington",12,18,0,49,"Parker Washington","Parker Washington",0.36734693877551,2
"ARI","00-0037744","T.McBride",17,23,6,63,"Trey McBride","Trey McBride",0.365079365079365,3
"MIN","00-0036322","J.Jefferson",11,15,3,42,"Justin Jefferson","Justin Jefferson",0.357142857142857,4
"DET","00-0036963","A.St. Brown",19,27,6,77,"Amon-Ra St. Brown","Amon-Ra St. Brown",0.350649350649351,5
"PHI","00-0036912","D.Smith",13,19,1,56,"DeVonta Smith","DeVonta Smith",0.339285714285714,6
"NYG","00-0037838","I.Likely",13,18,4,61,"Isaiah Likely","Isaiah Likely",0.295081967213115,7
"LA","00-0031381","D.Adams",11,16,1,57,"Davante Adams","Davante Adams",0.280701754385965,8
"ATL","00-0038542","Bi.Robinson",11,14,0,50,"Bijan Robinson","Bijan Robinson",0.28,9
"DAL","00-0036358","C.Lamb",13,17,3,61,"CeeDee Lamb","CeeDee Lamb",0.278688524590164,10
"GB","00-0038124","C.Watson",10,19,3,69,"Christian Watson","Christian Watson",0.27536231884058,11
"NO","00-0037239","C.Olave",18,23,1,84,"Chris Olave","Chris Olave",0.273809523809524,12
"CAR","00-0039491","J.Coker",16,18,5,66,"Jalen Coker","Jalen Coker",0.272727272727273,13
"CAR","00-0040124","T.McMillan",10,18,4,66,"Tetairoa McMillan","Tetairoa McMillan",0.272727272727273,14
"GB","00-0040667","M.Golden",10,18,3,69,"Matthew Golden","Matthew Golden",0.260869565217391,15
"MIA","00-0039880","M.Washington",7,13,0,50,"Malik Washington","Malik Washington",0.26,16
"PIT","00-0035640","D.Metcalf",8,19,0,74,"DK Metcalf","DK Metcalf",0.256756756756757,17
"NYJ","00-0039890","A.Mitchell",9,15,1,59,"Adonai Mitchell","Adonai Mitchell",0.254237288135593,18
"HOU","00-0034383","D.Schultz",16,22,0,87,"Dalton Schultz","Dalton Schultz",0.252873563218391,19
"BUF","00-0038933","D.Kincaid",12,14,1,56,"Dalton Kincaid","Dalton Kincaid",0.25,20
"CHI","00-0032464","K.Raymond",13,14,2,56,"Kalif Raymond","Kalif Raymond",0.25,21
"CIN","00-0036410","T.Higgins",8,16,0,65,"Tee Higgins","Tee Higgins",0.246153846153846,22
"BAL","00-0034753","M.Andrews",10,13,1,53,"Mark Andrews","Mark Andrews",0.245283018867925,23
"TEN","00-0041438","C.Tate",7,11,0,45,"Carnell Tate","Carnell Tate",0.244444444444444,24
"WAS","00-0031588","S.Diggs",9,15,4,63,"Stefon Diggs","Stefon Diggs",0.238095238095238,25
"NYJ","00-0037740","G.Wilson",11,14,1,59,"Garrett Wilson","Garrett Wilson",0.23728813559322,26
"KC","00-0038134","K.Walker",9,16,3,68,"Kenneth Walker III","Kenneth Walker III",0.235294117647059,27
"KC","00-0030506","T.Kelce",12,16,1,68,"Travis Kelce","Travis Kelce",0.235294117647059,28
"DEN","00-0036613","J.Waddle",9,13,1,56,"Jaylen Waddle","Jaylen Waddle",0.232142857142857,29
"DAL","00-0037247","G.Pickens",9,14,1,61,"George Pickens","George Pickens",0.229508196721311,30
"JAX","00-0039893","Bri.Thomas",6,11,0,49,"Brian Thomas Jr.","Brian Thomas Jr.",0.224489795918367,31
"LV","00-0040122","A.Jeanty",10,13,4,58,"Ashton Jeanty","Ashton Jeanty",0.224137931034483,32
"ARI","00-0038559","Mi.Wilson",7,14,0,63,"Michael Wilson","Michael Wilson",0.222222222222222,33
"IND","00-0038997","J.Downs",9,13,2,59,"Josh Downs","Josh Downs",0.220338983050847,34
"MIA","00-0039040","D.Achane",7,11,0,50,"De'Von Achane","De'Von Achane",0.22,35
"SF","00-0033280","C.McCaffrey",9,12,2,55,"Christian McCaffrey","Christian McCaffrey",0.218181818181818,36
"BUF","00-0037261","K.Shakir",7,12,3,56,"Khalil Shakir","Khalil Shakir",0.214285714285714,37
"CHI","00-0040735","L.Burden",8,12,2,56,"Luther Burden III","Luther Burden III",0.214285714285714,38
"MIN","00-0035229","T.Hockenson",7,9,2,42,"T.J. Hockenson","T.J. Hockenson",0.214285714285714,39
"NYG","00-0039337","M.Nabers",7,13,2,61,"Malik Nabers","Malik Nabers",0.213114754098361,40
"CLE","00-0041037","D.Boston",7,11,2,52,"Denzel Boston","Denzel Boston",0.211538461538462,41
"CLE","00-0041547","K.Concepcion",10,11,2,52,"KC Concepcion","KC Concepcion",0.211538461538462,42
