"team","eligible_plays","under_center_plays","under_center_rate","under_center_epa_plays","under_center_epa"
"LA",890,508,0.570786516853933,508,0.0983105484705626
"SEA",788,393,0.498730964467005,393,0.0637573924580455
"DET",912,440,0.482456140350877,440,0.0786427630815356
"CHI",1000,481,0.481,481,0.0783083027612066
"BUF",898,431,0.479955456570156,431,0.101901453916585
"SF",953,431,0.452256033578174,431,0.0583750679874934
"MIN",772,340,0.440414507772021,340,-0.114596532285299
"NE",852,374,0.438967136150235,374,0.113532778887169
"DAL",957,365,0.381400208986416,365,0.049715197973961
"HOU",950,360,0.378947368421053,360,-0.0576000630140582
"JAX",875,322,0.368,322,0.0811410143311254
"LV",752,275,0.365691489361702,275,-0.244140332451481
"TB",948,340,0.358649789029536,340,0.0289761187036517
"CLE",855,301,0.352046783625731,301,-0.138992201856891
"GB",918,322,0.350762527233115,322,0.0913045545072844
"BAL",823,281,0.341433778857837,281,0.130530210305056
"CAR",842,286,0.339667458432304,286,-0.0395149655279046
"PIT",877,292,0.332953249714937,292,0.0479568014894565
"ARI",825,274,0.332121212121212,274,-0.0267488097733134
"DEN",929,301,0.324004305705059,301,0.0252760504019855
"TEN",753,238,0.316069057104914,238,-0.172094239478224
"NYJ",752,218,0.289893617021277,218,-0.0860398235019785
"LAC",927,267,0.288025889967638,267,0.00747687176479158
"MIA",728,200,0.274725274725275,200,0.0968016146560054
"IND",862,235,0.27262180974478,235,0.186089847920255
"NYG",934,215,0.230192719486081,215,-0.00610146799982028
"NO",897,196,0.21850613154961,196,-0.144960373633675
"PHI",886,183,0.206546275395034,183,0.0889652653640553
"ATL",916,177,0.193231441048035,177,0.0440883104989061
"KC",937,172,0.183564567769477,172,0.00213469578768171
"CIN",863,154,0.178447276940904,154,0.0908513009348238
"WAS",782,101,0.129156010230179,101,0.00680912094563018
