"team","plays","positive","negative","outliers","outlier_rate","opponent","result","rank"
"CAR",62,5,6,11,0.17741935483871,"CHI","L 37–59",1
"NO",85,5,6,11,0.129411764705882,"DET","L 30–31",1
"MIA",50,1,7,8,0.16,"LV","L 13–27",3
"PHI",51,7,1,8,0.156862745098039,"WAS","W 24–22",3
"TB",51,3,5,8,0.156862745098039,"CIN","L 27–33",3
"ATL",57,2,6,8,0.140350877192982,"PIT","L 13–20",3
"BAL",60,6,2,8,0.133333333333333,"IND","W 41–23",3
"KC",64,6,2,8,0.125,"DEN","W 31–10",3
"CHI",70,6,2,8,0.114285714285714,"CAR","W 59–37",3
"CLE",49,3,4,7,0.142857142857143,"JAX","L 10–34",10
"LA",56,2,5,7,0.125,"SF","L 7–27",10
"GB",67,3,4,7,0.104477611940299,"MIN","L 22–39",10
"HOU",73,4,3,7,0.0958904109589041,"BUF","L 31–36",10
"BUF",51,4,2,6,0.117647058823529,"HOU","W 36–31",14
"LAC",51,1,5,6,0.117647058823529,"ARI","L 14–26",14
"PIT",61,1,5,6,0.0983606557377049,"ATL","W 20–13",14
"NE",67,1,5,6,0.0895522388059701,"SEA","L 10–13",14
"DET",73,3,3,6,0.0821917808219178,"NO","W 31–30",14
"DEN",46,1,4,5,0.108695652173913,"KC","L 10–31",19
"IND",53,1,4,5,0.0943396226415094,"BAL","L 23–41",19
"MIN",58,4,1,5,0.0862068965517241,"GB","W 39–22",19
"CIN",62,2,3,5,0.0806451612903226,"TB","W 33–27",19
"LV",64,3,2,5,0.078125,"MIA","W 27–13",19
"SF",64,2,3,5,0.078125,"LA","W 27–7",19
"DAL",52,3,1,4,0.0769230769230769,"NYG","L 20–28",25
"JAX",53,3,1,4,0.0754716981132075,"CLE","W 34–10",25
"NYJ",60,3,1,4,0.0666666666666667,"TEN","W 23–10",25
"NYG",65,3,1,4,0.0615384615384615,"DAL","W 28–20",25
"WAS",67,4,0,4,0.0597014925373134,"PHI","L 22–24",25
"SEA",47,2,1,3,0.0638297872340425,"NE","W 13–10",30
"TEN",49,1,1,2,0.0408163265306122,"NYJ","L 10–23",31
"ARI",69,1,0,1,0.0144927536231884,"LAC","W 26–14",32
